No,주소,경도,위도
350,"""서울특별시 영등포구 국회대로74길 12,""",126.9210613,37.53008867
351,서울특별시 영등포구 국제금융로 10,126.9261011,37.52595462
352,서울시 은평구 통일로 715,126.9303096,37.6094159
353,서울시 은평구 진관3로 21,126.9190132,37.63960064
354,서울특별시 은평구 통일로 842,126.922064,37.61869113
355,서울특별시 은평구 통일로 867,126.9198928,37.62022284
356,서울특별시 은평구 진관2로 12,126.920357,37.6333289
357,서울특별시 은평구 은평로 170,126.9266622,37.60108898
358,서울특별시 은평구 은평로 111,126.9201929,37.60036226
359,서울특별시 은평구 연서로 146,126.9177125,37.61182625
360,서울특별시 종로구 율곡로2길 25,126.9805175,37.57436453
361,서울시 종로구 대학로12길 4,127.0021987,37.58251706
362,서울특별시 종로구 새문안로3길 15,126.9723004,37.57170516
363,서울특별시 종로구 새문안로 29,126.9667927,37.56832056
364,서울특별시 종로구 평창12길 3,126.9672222,37.60617441
365,서울특별시 종로구 종로 6,126.9780958,37.56984144
366,서울특별시 종로구 종로 51,126.9836107,37.57074333
367,서울특별시 종로구 통일로 168-1,126.963836,37.5690745
368,서울특별시 종로구 새문안로5가길 28,126.9735974,37.57446114
369,서울특별시 종로구 종로 344,127.0160831,37.57272308
370,서울특별시 종로구 삼봉로 71,126.9811146,37.57266811
371,서울특별시 종로구 북촌로4길 23,126.9864795,37.57946969
372,서울특별시 종로구 종로5길 30,126.9807053,37.57167817
373,서울특별시 종로구 새문안로 92,126.9749084,37.56969994
374,서울특별시 종로구 북촌로 43952,126.984548,37.5807651
375,서울특별시 종로구 삼청로 111-1,126.9817852,37.58538787
376,서울특별시 종로구 종로3길 17,126.9789144,37.57099652
377,서울특별시 종로구 돈화문로 13,126.9916657,37.56969451
378,"""서울특별시 종로구 새문안로5길 55,""",126.9739658,37.57512752
379,서울특별시 종로구 인사동길 14,126.9869506,37.57219338
380,서울특별시 종로구 청계천로 41,126.9821793,37.56966788
381,"""서울특별시 종로구 세종대로 167,""",126.9763059,37.57126998
382,서울특별시 종로구 창경궁로 235,126.9983773,37.58298653
383,서울특별시 종로구 사직로8길 4,126.9680751,37.57428766
384,서울특별시 종로구 종로 183,126.9986607,37.57144149
385,서울특별시 종로구 종로 64,126.984544,37.56996107
386,서울특별시 종로구 청계천로 59,126.984183,37.56893647
387,서울특별시 종로구 동숭길 110,127.0039086,37.58298286
388,"""서울특별시 종로구 종로12길 21,""",126.9859967,37.56907724
389,"""서울특별시 종로구 자하문로4길 6,""",126.9726341,37.57718233
390,서울특별시 종로구 종로1길 42,126.9789834,37.57390259
391,서울특별시 종로구 대명길 5,127.0011549,37.58352216
392,"""서울특별시 종로구 대학로 116,""",127.002339,37.58153626
393,"""서울특별시 종로구 종로 113-1,""",126.9902229,37.5705963
394,"""서울특별시 종로구 대학로 57,""",127.001447,37.57655824
395,"""서울특별시 종로구 율곡로 6,""",126.9805018,37.5754933
396,서울특별시 종로구 삼일대로20길 13,126.9886743,37.56975929
397,서울특별시 중구 세종대로12길 12,126.9769218,37.56162722
398,서울특별시 중구 을지로 170,126.9973275,37.56613923
399,서울특별시 중구 장충단로 275,127.0087751,37.56888578
400,서울시 중구 세종대로 39,126.9737756,37.56071415
401,서울특별시 중구 명동9길 16,126.9852345,37.5646483
402,서울특별시 중구 을지로 251,127.0062518,37.56655546
403,서울특별시 중구 서애로 1길,126.998146,37.5610255
404,서울특별시 중구 소공로 63,126.9809781,37.56091729
405,서울특별시 중구 을지로 51,126.9836818,37.56649271
406,서울특별시 중구 퇴계로 18,126.9751563,37.55656057
407,서울특별시 중구 장충단로 229,127.0072104,37.56521078
408,서울특별시 중구 남대문로 109,126.9822467,37.56698559
409,서울특별시 중구 장충단로 166,127.0061551,37.5596519
410,서울특별시 중구 다산로 258,127.0166234,37.56579501
411,서울특별시 중구 통일로 10,126.9736347,37.55709794
412,서울특별시 중구 퇴계로 72,126.9806042,37.5591253
413,서울특별시 중구 남대문로10길 9,126.9832304,37.5672028
414,서울특별시 중구 삼일대로 358,126.9881037,37.56648835
415,서울특별시 중구 퇴계로 77,126.9807761,37.56035982
416,서울특별시 중구 소공로 70,126.9821686,37.56159853
417,서울특별시 중구 세종대로 124,126.9778735,37.56742034
418,서울특별시 중구 명동길 60,126.9857543,37.56377518
419,서울특별시 중구 다산로 129,127.0107392,37.55545033
420,서울특별시 중구 수표로 34,126.9903579,37.56437876
421,서울특별시 중구 명동10길 411522-3232,126.9883434,37.56365476
422,서울특별시 중구 세종대로18길 32,126.9789375,37.56372726
423,서울특별시 중구 서소문로 120,126.9746783,37.56286788
424,"""서울특별시 중구 퇴계로 385,""",127.0143534,37.56540496
425,서울특별시 중구 명동9가길 14,126.9837308,37.5651364
426,"""서울특별시 중구 세종대로 17,""",126.9732666,37.55862859
427,"""서울특별시 중구 칠패로 27,""",126.9720357,37.56026697
428,서울특별시 중구 퇴계로 212,126.9953433,37.56107538
429,서울특별시 중구 소공로 112,126.9792214,37.5646231
430,서울특별시 중구 무교로 21,126.9787424,37.56785457
431,서울특별시 중구 새문안로 22,126.9686455,37.56713012
432,"""서울특별시 중구 세종대로 72,""",126.9768004,37.56249757
433,"""서울특별시 중구 세종대로9길 41",126.9729968,37.56135847
434,"""서울특별시 중구 소월로 10,""",126.9754113,37.55854134
435,서울특별시 중구 청계천로 400,127.0227726,37.57089912
